ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_tps_ss,first_token_sec,kvcache_bytes
2048,2048,631.42,128,21.62,21.66,0.0579,32968864
4096,2048,811.69,128,18.47,18.45,0.0486,41941920
6144,2048,817.29,128,18.34,18.34,0.0562,50914976
8192,2048,801.65,128,18.19,18.20,0.0575,59888032
10240,2048,780.07,128,18.08,18.09,0.0584,68861088
12288,2048,768.44,128,18.00,18.01,0.0572,77834144
14336,2048,753.61,128,17.96,17.96,0.0581,86807200
16384,2048,748.84,128,17.86,17.87,0.0583,95780256
18432,2048,737.89,128,17.82,17.82,0.0580,104753312
20480,2048,725.47,128,17.77,17.77,0.0581,113726368
22528,2048,717.32,128,17.72,17.72,0.0583,122699424
24576,2048,707.22,128,17.67,17.67,0.0590,131672480
26624,2048,696.81,128,17.62,17.62,0.0585,140645536
28672,2048,689.75,128,17.57,17.58,0.0588,149618592
30720,2048,679.48,128,17.52,17.53,0.0588,158591648
32768,2048,673.95,128,17.46,17.47,0.0600,167564704
34816,2048,630.58,128,17.40,17.40,0.0590,176537760
36864,2048,624.81,128,17.37,17.37,0.0596,185510816
38912,2048,618.89,128,17.32,17.32,0.0600,194483872
40960,2048,611.70,128,17.29,17.29,0.0596,203456928
43008,2048,606.58,128,17.24,17.24,0.0604,212429984
45056,2048,596.70,128,17.18,17.18,0.0600,221403040
47104,2048,590.85,128,17.11,17.11,0.0603,230376096
49152,2048,582.82,128,17.09,17.09,0.0616,239349152
51200,2048,564.19,128,17.01,17.02,0.0613,248322208
53248,2048,563.85,128,16.96,16.97,0.0624,257295264
55296,2048,557.75,128,16.91,16.91,0.0607,266268320
57344,2048,554.91,128,16.88,16.89,0.0615,275241376
59392,2048,547.99,128,16.81,16.82,0.0617,284214432
61440,2048,545.23,128,16.75,16.75,0.0619,293187488
63488,2048,538.95,128,16.72,16.72,0.0609,302160544
65536,2048,535.84,128,16.69,16.70,0.0612,311133600
