ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
2048,2048,812.936,128,18.2784,,1,812.936,18.2784,21,21,5220.37,5103.72,5391.47
4096,2048,799.243,128,18.0877,,1,799.243,18.0877,22,22,7905.27,7788.62,8014.93
6144,2048,809.573,128,17.9858,,1,809.573,17.9858,21,21,10325.7,10209.1,10442.2
8192,2048,804.925,128,17.8798,,1,804.925,17.8798,21,21,13034.6,12918,13210.9
10240,2048,821.694,128,17.9036,,1,821.694,17.9036,20,20,15409.4,15292.8,15586.2
12288,2048,815.748,128,18.1247,,1,815.748,18.1247,23,23,17953,17836.4,18304.7
14336,2048,808.872,128,17.6596,,1,808.872,17.6596,21,21,20729.3,20612.7,20911.2
16384,2048,803.968,128,17.5167,,1,803.968,17.5167,20,20,23361.3,23244.7,23538.8
18432,2048,798.29,128,17.3627,,1,798.29,17.3627,21,21,26055.8,25939.2,26177.4
20480,2048,779.828,128,17.2714,,1,779.828,17.2714,21,21,29219.2,29102.6,29341.4
22528,2048,785.343,128,17.0989,,1,785.343,17.0989,20,20,32065.8,31949.1,32189.3
24576,2048,778.307,128,16.9066,,1,778.307,16.9066,19,19,34820.2,34703.5,34942.3
26624,2048,771.377,128,16.7805,,1,771.377,16.7805,19,19,37963.3,37846.6,38089.4
28672,2048,768.632,128,16.66,,1,768.632,16.66,19,19,40453.3,40336.6,40579.2
30720,2048,762.243,128,15.3312,,1,762.243,15.3312,18,18,43737.9,43621.3,43875.1
32768,2048,753.545,128,15.2669,,1,753.545,15.2669,18,18,46992.4,46875.7,47129.1
34816,2048,746.978,128,15.3053,,1,746.978,15.3053,20,20,50325.6,50209,50532.6
36864,2048,739.745,128,15.1161,,1,739.745,15.1161,17,17,53589.2,53472.5,53795.3
38912,2048,731.873,128,14.9419,,1,731.873,14.9419,18,18,57043.2,56926.5,57250.8
40960,2048,725.54,128,14.9963,,1,725.54,14.9963,17,17,60781.8,60665.1,60922.2
43008,2048,721.766,128,14.9594,,1,721.766,14.9594,17,17,63141.2,63024.6,63281.5
45056,2048,714.618,128,14.4446,,1,714.618,14.4446,21.6669,21.6669,67123.1,67006.4,67194.5
47104,2048,709.682,128,14.8049,,1,709.682,14.8049,17,17,70632.8,70516.1,70773.9
49152,2048,702.769,128,14.6952,,1,702.769,14.6952,18,18,74247.7,74131.1,74390.3
51200,2048,698.564,128,14.5988,,1,698.564,14.5988,17,17,77548.4,77431.7,77692.1
53248,2048,691.219,128,14.3956,,1,691.219,14.3956,17,17,81415.1,81298.4,81559.9
55296,2048,688.034,128,14.4493,,1,688.034,14.4493,17,17,84470,84353.4,84687.2
57344,2048,683.01,128,14.3435,,1,683.01,14.3435,17,17,87977.7,87861.1,88124.6
59392,2048,677.761,128,14.2363,,1,677.761,14.2363,16,16,91594.3,91477.7,91740.9
61440,2048,674.176,128,14.2657,,1,674.176,14.2657,16,16,95256.4,95139.8,95475.3
63488,2048,668.196,128,14.0973,,1,668.196,14.0973,17,17,99922.7,99806,100147
65536,2048,663.456,128,13.9248,,1,663.456,13.9248,16,16,103383,103267,103681
