ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
2048,2048,899.007,128,22.0814,,1,899.007,22.0814,29,29,4660.54,4556.14,4836.34
6144,2048,856.269,128,20.9256,,1,856.269,20.9256,28,28,9671.49,9567.09,9853.98
10240,2048,824.242,128,17.2812,,1,824.242,17.2812,21,21,15012.6,14908.2,15197.1
14336,2048,806.251,128,17.2437,,1,806.251,17.2437,20,20,20425.6,20321.2,20615.1
18432,2048,790.931,128,21.0898,,1,790.931,21.0898,30,30,25997.9,25893.5,26189.3
22528,2048,776.551,128,16.775,,1,776.551,16.775,19,19,31752,31647.6,31949.2
26624,2048,760.579,128,16.641,,1,760.579,16.641,20,20,37802,37697.6,37999.1
30720,2048,753.763,128,15.132,,1,753.763,15.132,20,20,43576.9,43472.5,43787.5
34816,2048,735.365,128,17.7789,,1,735.365,17.7789,29,29,50234.6,50130.2,50453.8
38912,2048,724.246,128,18.4431,,1,724.246,18.4431,30,30,56659.7,56555.3,56879.7
43008,2048,713.016,128,14.3619,,1,713.016,14.3619,17,17,63295.1,63190.7,63520.4
47104,2048,698.534,128,20.9462,,1,698.534,20.9462,35,35,70468.9,70364.5,70694.2
51200,2048,687.194,128,18.3119,,1,687.194,18.3119,29,29,77590.6,77486.2,77819
55296,2048,676.031,128,16.9857,,1,676.031,16.9857,27,27,84928.9,84824.5,85161.8
59392,2048,665.39,128,15.7984,,1,665.39,15.7984,26,26,92441.2,92336.8,92676.1
63488,2048,655.266,128,13.9972,,1,655.266,13.9972,19,19,100119,100014,100267
