ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
2048,2048,780.072,128,23.4022,,1,780.072,23.4022,32,32,5446.78,5341.82,5631.01
4096,2048,784.506,128,21.1826,,1,784.506,21.1826,31,31,8038.61,7933.65,8221.29
6144,2048,792.172,128,17.4676,,1,792.172,17.4676,21,21,10641.8,10536.8,10833.6
8192,2048,813.096,128,17.6033,,1,813.096,17.6033,19,19,13003.8,12898.9,13185.9
10240,2048,806.943,128,17.2667,,1,806.943,17.2667,20,20,15569.5,15464.5,15755.2
12288,2048,799.916,128,17.377,,1,799.916,17.377,21,21,18436.9,18331.9,18623.8
14336,2048,795.697,128,17.2547,,1,795.697,17.2547,20,20,21080.3,20975.3,21271.8
16384,2048,787.793,128,19.2292,,1,787.793,19.2292,26,26,24037.7,23932.7,24226.2
18432,2048,783.988,128,17.1539,,1,783.988,17.1539,20,20,26629.6,26524.6,26823.5
20480,2048,777.681,128,18.9351,,1,777.681,18.9351,25,25,29469.2,29364.2,29661.3
22528,2048,772.985,128,16.733,,1,772.985,16.733,19,19,32258.3,32153.3,32453.1
24576,2048,768.267,128,16.6402,,1,768.267,16.6402,19,19,35125.3,35020.4,35322.2
26624,2048,760.939,128,16.4192,,1,760.939,16.4192,19,19,38397.1,38292.2,38597.8
28672,2048,756.371,128,16.1698,,1,756.371,16.1698,20,20,41702.3,41597.3,41765.1
30720,2048,751.672,128,15.0668,,1,751.672,15.0668,18,18,44270.5,44165.5,44487.2
32768,2048,743.157,128,15.1189,,1,743.157,15.1189,18,18,47541.8,47436.8,47758.2
34816,2048,736.184,128,14.9596,,1,736.184,14.9596,17,17,51081.4,50976.4,51299.4
36864,2048,730.262,128,15.0499,,1,730.262,15.0499,18,18,53982.9,53877.9,54498.3
38912,2048,724.133,128,14.8748,,1,724.133,14.8748,19,19,57278.2,57173.2,57496.8
40960,2048,716.442,128,14.7192,,1,716.442,14.7192,17,17,61072.9,60968,61295.9
43008,2048,710.992,128,14.65,,1,710.992,14.65,17,17,64499.5,64394.5,64721.7
45056,2048,705.36,128,14.5457,,1,705.36,14.5457,17,17,68376.4,68271.5,68600.2
47104,2048,697.948,128,14.5238,,1,697.948,14.5238,18,18,71312.3,71207.3,71540.9
49152,2048,693.914,128,14.6773,,1,693.914,14.6773,18,18,75068.2,74963.2,75448.5
51200,2048,687.773,128,14.1526,,1,687.773,14.1526,17,17,78966.7,78861.7,79197.2
53248,2048,680.698,128,14.2437,,1,680.698,14.2437,17,17,83044.8,82939.8,83275.9
55296,2048,676.545,128,15.0654,,1,676.545,15.0654,32,32,86714.2,86609.2,87104.2
57344,2048,672.095,128,13.9258,,1,672.095,13.9258,17,17,90000,89895,90236.3
59392,2048,667.597,128,13.8436,,1,667.597,13.8436,17,17,93649.4,93544.5,93884.7
61440,2048,664.42,128,13.8554,,1,664.42,13.8554,22,22,97362.8,97257.8,97600.7
63488,2048,659.548,128,14.0087,,1,659.548,14.0087,17,17,100897,100792,101045
65536,2048,654.401,128,13.8206,,1,654.401,13.8206,16,16,105468,105364,105617
